City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,al ghayzah,16.2079,52.176,81.55,70,100,7.49,YE,1699731319
83,el empalme,-40.7226,-64.9922,78.67,21,100,41.79,AR,1699731320
84,avarua,-21.2078,-159.775,75.25,88,75,5.75,CK,1699731321
85,port elizabeth,-33.918,25.5701,65.32,80,40,11.5,ZA,1699731322
86,valdez,1.2492,-78.9831,80.08,80,90,13.38,EC,1699731323
87,uzgen,40.7699,73.3007,43.09,44,100,3.6,KG,1699731324
88,bilibino,68.0546,166.4372,-23.48,100,37,4.23,RU,1699731326
89,puerto colombia,10.9878,-74.9547,91.49,74,97,10.65,CO,1699731175
90,parabel',58.6978,81.4825,33.91,98,100,8.01,RU,1699731327
91,lewisville,33.0462,-96.9942,64.94,52,75,9.22,US,1699731328
92,port lincoln,-34.7333,135.8667,54.41,72,98,14.9,AU,1699731329
93,puerto ayora,-0.7393,-90.3518,87.76,89,69,8.99,EC,1699731330
94,howrah,22.5892,88.3103,75.2,83,0,0.0,IN,1699731330
95,genhe,50.7833,121.5167,-6.09,99,11,2.51,CN,1699731332
96,udachny,66.4167,112.4,10.45,87,98,11.86,RU,1699731333
97,invercargill,-46.4,168.35,60.03,56,100,15.99,NZ,1699731334
98,thunder bay,48.4001,-89.3168,37.38,65,100,5.75,CA,1699731297
99,quepos,9.4236,-84.1652,82.58,81,99,4.41,CR,1699731335
100,garissa,-0.4536,39.6401,81.37,75,91,11.05,KE,1699731336
101,preobrazheniye,42.9019,133.9064,23.04,59,0,7.56,RU,1699731337
102,mega,4.05,38.3,62.65,69,76,10.87,ET,1699731338
103,la passe,45.5549,-0.8967,52.03,97,100,15.1,FR,1699731339
104,saipan,15.1355,145.701,83.1,83,40,19.57,MP,1699731339
105,lebu,-37.6167,-73.65,52.32,51,12,15.5,CL,1699731138
106,seosan,36.7817,126.4522,40.6,59,100,14.7,KR,1699731341
107,naze,28.3667,129.4833,59.92,87,98,14.41,JP,1699731342
108,an nuhud,12.7,28.4333,83.91,44,85,4.61,SD,1699731343
109,fiambala,-27.6871,-67.6149,95.99,4,0,28.72,AR,1699731343
110,cabedelo,-6.9811,-34.8339,84.87,69,63,15.57,BR,1699731287
111,ilulissat,69.2167,-51.1,19.42,45,75,9.22,GL,1699731345
112,touros,-5.1989,-35.4608,80.19,68,5,13.82,BR,1699731345
113,fortaleza,-3.7227,-38.5247,86.07,60,0,16.11,BR,1699731346
114,constantia,44.1833,28.65,52.7,77,37,17.31,RO,1699731092
115,schleiz,50.5833,11.8167,39.13,84,87,10.45,DE,1699731348
116,olonkinbyen,70.9221,-8.7187,33.82,98,100,12.57,SJ,1699731348
117,fortuna,40.5982,-124.1573,64.92,69,0,3.0,US,1699731349
118,ghanzi,-21.5667,21.7833,85.06,21,8,9.95,BW,1699731350
119,san fernando de apure,7.8878,-67.4724,85.5,77,100,1.99,VE,1699731350
120,tosontsengel,48.7567,98.2839,-10.1,85,43,0.98,MN,1699731351
121,aasiaat,68.7098,-52.8699,11.95,77,100,8.08,GL,1699731352
122,east london,-33.0153,27.9116,65.95,76,31,14.29,ZA,1699731173
123,yung shue wan,22.2333,114.1167,76.75,88,100,17.96,HK,1699731353
124,altai,46.3722,96.2583,12.79,56,100,3.0,MN,1699731354
125,nuuk,64.1835,-51.7216,23.61,74,75,6.91,GL,1699731356
126,yeraliyev,43.2,51.65,50.16,68,10,10.54,KZ,1699731357
127,neunkirchen am brand,49.612,11.1297,39.96,85,75,5.75,DE,1699731358
128,onega,63.9061,38.1404,27.32,91,99,4.72,RU,1699731358
129,east ballina,-28.8667,153.5833,61.81,83,21,8.95,AU,1699731359
130,altamira,-3.2033,-52.2064,89.28,51,94,6.46,BR,1699731190
131,prince rupert,54.3161,-130.3201,46.09,75,75,13.8,CA,1699731075
132,igarka,67.4667,86.5833,16.09,95,100,13.15,RU,1699731361
133,stanley,54.868,-1.6985,40.28,95,75,2.3,GB,1699731337
134,salgado,-11.0319,-37.475,81.3,59,5,9.42,BR,1699731364
135,edinburgh of the seven seas,-37.0676,-12.3116,58.57,90,87,21.52,SH,1699731365
136,mount gambier,-37.8333,140.7667,45.48,86,4,3.42,AU,1699731366
137,la ronge,55.1001,-105.2842,32.25,74,20,13.8,CA,1699731367
138,susuman,62.7833,148.1667,-27.9,100,82,0.18,RU,1699731368
139,tura,25.5198,90.2201,64.56,87,0,3.89,IN,1699731369
140,hawaiian paradise park,19.5933,-154.9731,75.04,95,100,10.36,US,1699731370
141,ust-nera,64.5667,143.2,-28.35,98,72,3.91,RU,1699731370
142,pointe aux piments,-20.0628,57.5131,75.52,81,72,3.91,MU,1699731371
143,ribeira brava,32.65,-17.0667,72.23,81,100,3.42,PT,1699731372
144,arish,31.1316,33.7984,75.06,62,100,1.41,EG,1699731373
